task_dir,n_trials,total_seconds,total_minutes
book_collect_nuts,132,3624.4,60.41
book_push_toy,230,3603.2,60.05
brush_collect_sand,85,3621.7,60.36
brush_sweep_nuts,112,3588.5,59.81
chopstick_slice_dough,155,3592.4,59.87
chopstick_stir_coffee,101,3588.6,59.81
cup_crush_dough,103,2916.2,48.60
cup_roll_dough,170,3565.0,59.42
fork_dig_toysand,176,3588.0,59.80
fork_flip_egg,913,6262.0,104.37
fork_flip_naan,452,3573.6,59.56
fork_scoop_nuts,264,2733.0,45.55
fork_shape_kineticsand,79,3618.5,60.31
fork_spread_tomatosauce,106,3645.7,60.76
fork_stir_coffee,78,3581.5,59.69
knife_open_box,118,3710.4,61.84
knife_slice_banana,262,3555.7,59.26
knife_spread_tomatosauce,85,3686.6,61.44
knifeblade_open_box,158,3572.2,59.54
ladle_scoop_nuts,441,3584.9,59.75
ladle_stir_coffee,42,1765.6,29.43
mallet_crush_banana,162,3601.7,60.03
mallet_crush_dough,72,3706.7,61.78
mallet_crush_nuts,109,3619.7,60.33
mallet_push_toy,210,3577.0,59.62
malletpestle_crush_nuts,42,1794.1,29.90
pan_push_toy,189,3594.3,59.90
pestle_crush_nuts,44,1800.2,30.00
plasticwraprod_roll_sand,199,3575.8,59.60
rollingpin_roll_dough,90,3594.7,59.91
rollingpin_roll_sand,303,3586.7,59.78
rollrod_roll_dough,171,3565.0,59.42
scooper_dig_toysand,158,3602.5,60.04
scooper_scoop_icecream,108,2210.4,36.84
scooper_scoop_nuts,354,3571.4,59.52
scooper_shape_kineticsand,57,3408.1,56.80
spatula_collect_sand,85,3643.6,60.73
spatula_flip_egg,467,3580.1,59.67
spatula_flip_naan,486,3701.9,61.70
spatula_lift_place_egg,405,3570.0,59.50
spatula_press_sponge,150,3593.4,59.89
spatula_scoop_nuts,282,3596.0,59.93
spatula_spread_tomatosauce,112,3381.0,56.35
spatula_stir_coffee,82,3637.0,60.62
spoon_crush_banana,74,1632.2,27.20
spoon_crush_nuts,122,2777.4,46.29
spoon_cut_kinetic_sand,122,1796.9,29.95
spoon_dig_plantingpot,94,3689.2,61.49
spoon_dig_toysand,169,3593.1,59.89
spoon_lift_place_egg,349,3577.3,59.62
spoon_press_sponge,160,3549.1,59.15
spoon_scoop_nuts,294,3573.3,59.56
spoon_spread_tomatosauce,131,3630.1,60.50
spoon_stir_coffee,117,3629.4,60.49
spoon_sweep_nuts,77,3669.0,61.15
squeegee_collect_sand,163,3622.2,60.37
squeegee_sweep_nuts,116,3569.0,59.48
straw_stir_coffee,93,3647.8,60.80
towel_sweep_nuts,98,3607.5,60.12
woodenspoon_crush_dough,80,2952.9,49.22
